tc,tt,bc,bt,hi_hex,lo_hex,response
3,4,0,3,00000000,00099780,628608
3,4,0,5,04000400,802B9FA0,288234776348565408
3,4,0,7,00000000,80299FA0,2150211488
3,5,0,0,FFFFFFFF,FFFEEEFF,18446744073709481727
3,5,0,2,FFFFFBFF,FFF6605D,18446739675662409821
3,5,0,6,FFFFFBFF,FFFE6EFF,18446739675662937855
3,6,0,1,00000000,00099780,628608
3,6,0,3,00000000,00099780,628608
3,6,0,5,04000400,802B9FA0,288234776348565408
3,6,0,7,00000000,802B9FA0,2150342560
3,7,0,0,B1FF20FF,0F962010,12826006543624708112
3,7,0,2,0046007F,06140000,19703793932566528
3,7,0,4,B1FF20FF,0F962010,12826006543624708112
3,7,0,6,B1FF20FF,0F940000,12826006543624568832
3,0,1,0,FFF7DFFF,BC5F9FAE,18444457088389193646
3,0,1,2,7FF71FEF,805D9FAA,9220873875575644074
3,0,1,4,FFFFDFFF,BC7F9FBF,18446708888204976063
3,0,1,6,7FF71FEF,A45D9FAA,9220873876179623850
3,1,1,1,A00E2012,4FB66050,11533190958761271376
3,1,1,3,A00E2012,4FB66050,11533190958761271376
3,1,1,5,A00E2012,4FB62050,11533190958761254992
3,1,1,7,A04E201B,CFB66050,11551205398072942672
3,2,1,0,44000B6D,00099FA8,4899928957359071144
3,2,1,2,04000B65,00099FA8,288242904571944872
3,2,1,4,5FF00FED,00599FAA,6913042938601250730
3,2,1,6,04000B65,00099FA8,288242904571944872
3,3,1,1,FFFFF4BF,FFF7EC5F,18446731704203209823
3,3,1,3,FFFFF4BF,FFF7EC5F,18446731704203209823
3,3,1,5,FFFFF4BF,FFF7EC5F,18446731704203209823
3,3,1,7,FFFFF4BF,FFF7EC5F,18446731704203209823
3,4,1,0,04000360,00099FA0,288234087004086176
3,4,1,2,00000340,000893A0,3573413352352
3,4,1,4,04000B61,00099FA8,288242887392075688
3,4,1,6,00000340,000893A0,3573413352352
3,5,1,1,FFFFF4BF,FFF7EC5F,18446731704203209823
3,5,1,3,FFFFF4BF,FFF7EC5F,18446731704203209823
3,5,1,5,FFFFF4BF,FFF7EC5D,18446731704203209821
3,5,1,7,FFFFF4BF,FFF7EC5F,18446731704203209823
3,6,1,0,00000340,00099FA0,3573413420960
3,6,1,2,00000340,000893A0,3573413352352
3,6,1,4,04000B61,00099FA8,288242887392075688
3,6,1,6,00000340,000893A0,3573413352352
3,7,1,1,800E2010,0FA62000,9227347939882835968
3,7,1,3,800E2010,0FA62000,9227347939882835968
3,7,1,5,000E2010,0FA62000,3975903028060160
3,7,1,7,A00E2012,4FA62040,11533190958760206400
3,0,2,1,FFFFFFFD,7FFFFFFF,18446744062972133375
3,0,2,7,FFFFFFFD,7FFFFDBE,18446744062972132798
3,1,2,0,00020002,80000200,562960690840064
3,1,2,2,00000002,00000000,8589934592
3,1,2,4,00020002,80000200,562960690840064
3,1,2,6,0002000B,80000280,562999345545856
3,2,2,1,FFFFFFBD,7FFFFDBE,18446743788094225854
3,2,2,3,FFFFFFFD,7FFFFFFF,18446744062972133375
3,2,2,5,FFFFFFFD,7FFFFFFF,18446744062972133375
3,2,2,7,FFFCA794,7FFFFD8C,18445802430047190412
3,3,2,0,000760FF,809003FB,2076975326823419
3,3,2,2,0007006F,800002D0,1970803725828816
3,3,2,4,0007007F,801002D0,1970872446354128
3,3,2,6,15FF7DFF,82B03FFB,1585124130220425211
3,4,2,1,FFFCB794,7FFFFD8C,18445820022233234828
3,4,2,3,FFFDFFBD,7FFFFDBC,18446180838140804540
3,4,2,5,FFFFFFBD,7FFFFDBE,18446743788094225854
3,4,2,7,FFFC8000,7FFFEC04,18445758913438542852
3,5,2,0,000720FF,809003D0,2006606582645712
3,5,2,2,0006006F,80000290,1689328749118096
3,5,2,4,0007006F,800002D0,1970803725828816
3,5,2,6,146778FF,82B01FFB,1470276842164330491
3,6,2,1,FFFCB794,7FFFFD8C,18445820022233234828
3,6,2,3,FFFDFFBD,7FFFFDBC,18446180838140804540
3,6,2,5,FFFDFFBD,7FFFFDBC,18446180838140804540
3,6,2,7,FFFC0000,7FFFEC04,18445618175950187524
3,7,2,0,00020002,80000200,562960690840064
3,7,2,2,00000002,00000000,8589934592
3,7,2,4,00000002,00000000,8589934592
3,7,2,6,00020003,80000200,562964985807360
